year;species;site;year;season;MeanAut_SST
1988;Black-legged kittiwake;Bjørnøya;1988;Aut;3.750555194
1989;Black-legged kittiwake;Bjørnøya;1989;Aut;3.779442003
1990;Black-legged kittiwake;Bjørnøya;1990;Aut;4.658958605
1991;Black-legged kittiwake;Bjørnøya;1991;Aut;4.312432635
1992;Black-legged kittiwake;Bjørnøya;1992;Aut;4.217359755
1993;Black-legged kittiwake;Bjørnøya;1993;Aut;4.513958062
1994;Black-legged kittiwake;Bjørnøya;1994;Aut;4.255368381
1995;Black-legged kittiwake;Bjørnøya;1995;Aut;3.966470902
1996;Black-legged kittiwake;Bjørnøya;1996;Aut;4.142852105
1997;Black-legged kittiwake;Bjørnøya;1997;Aut;4.148819987
1998;Black-legged kittiwake;Bjørnøya;1998;Aut;4.85252143
1999;Black-legged kittiwake;Bjørnøya;1999;Aut;4.668291558
2000;Black-legged kittiwake;Bjørnøya;2000;Aut;4.634659379
2001;Black-legged kittiwake;Bjørnøya;2001;Aut;5.439006438
2002;Black-legged kittiwake;Bjørnøya;2002;Aut;4.907118508
2003;Black-legged kittiwake;Bjørnøya;2003;Aut;3.893923159
2004;Black-legged kittiwake;Bjørnøya;2004;Aut;5.530047833
2005;Black-legged kittiwake;Bjørnøya;2005;Aut;5.16093117
2006;Black-legged kittiwake;Bjørnøya;2006;Aut;5.529115578
2007;Black-legged kittiwake;Bjørnøya;2007;Aut;5.557485171
2008;Black-legged kittiwake;Bjørnøya;2008;Aut;4.109605125
2009;Black-legged kittiwake;Bjørnøya;2009;Aut;4.212011719
2010;Black-legged kittiwake;Bjørnøya;2010;Aut;4.533239746
2011;Black-legged kittiwake;Bjørnøya;2011;Aut;5.944259078
2012;Black-legged kittiwake;Bjørnøya;2012;Aut;5.395818414
2013;Black-legged kittiwake;Bjørnøya;2013;Aut;6.494228787
2014;Black-legged kittiwake;Bjørnøya;2014;Aut;5.186387804
2015;Black-legged kittiwake;Bjørnøya;2015;Aut;5.372573061
2016;Black-legged kittiwake;Bjørnøya;2016;Aut;4.978459111
2017;Black-legged kittiwake;Bjørnøya;2017;Aut;5.005202908
2018;Black-legged kittiwake;Bjørnøya;2018;Aut;3.915804489
2019;Black-legged kittiwake;Bjørnøya;2019;Aut;5.251687735
2020;Black-legged kittiwake;Bjørnøya;2020;Aut;5.790231662
2021;Black-legged kittiwake;Bjørnøya;2021;Aut;5.613112612
2022;Black-legged kittiwake;Bjørnøya;2022;Aut;5.56444137
2023;Black-legged kittiwake;Bjørnøya;2023;Aut;4.899311885
2024;Black-legged kittiwake;Bjørnøya;2024;Aut;5.298489041
2025;Black-legged kittiwake;Bjørnøya;2025;Aut;5.610728172
2026;Black-legged kittiwake;Bjørnøya;2026;Aut;6.503329355
2027;Black-legged kittiwake;Bjørnøya;2027;Aut;6.124344437
2028;Black-legged kittiwake;Bjørnøya;2028;Aut;5.926711697
2029;Black-legged kittiwake;Bjørnøya;2029;Aut;6.019065574
2030;Black-legged kittiwake;Bjørnøya;2030;Aut;5.717102503
2031;Black-legged kittiwake;Bjørnøya;2031;Aut;5.406617567
2032;Black-legged kittiwake;Bjørnøya;2032;Aut;5.458706778
2033;Black-legged kittiwake;Bjørnøya;2033;Aut;5.432770454
2034;Black-legged kittiwake;Bjørnøya;2034;Aut;6.01567202
2035;Black-legged kittiwake;Bjørnøya;2035;Aut;6.024305556
2036;Black-legged kittiwake;Bjørnøya;2036;Aut;5.85202908
2037;Black-legged kittiwake;Bjørnøya;2037;Aut;6.549069553
2038;Black-legged kittiwake;Bjørnøya;2038;Aut;6.016845251
2039;Black-legged kittiwake;Bjørnøya;2039;Aut;5.038767723
2040;Black-legged kittiwake;Bjørnøya;2040;Aut;6.667435258
2041;Black-legged kittiwake;Bjørnøya;2041;Aut;6.504079409
2042;Black-legged kittiwake;Bjørnøya;2042;Aut;6.898497631
2043;Black-legged kittiwake;Bjørnøya;2043;Aut;7.00249566
2044;Black-legged kittiwake;Bjørnøya;2044;Aut;5.578983561
2045;Black-legged kittiwake;Bjørnøya;2045;Aut;5.618123825
2046;Black-legged kittiwake;Bjørnøya;2046;Aut;6.002927427
2047;Black-legged kittiwake;Bjørnøya;2047;Aut;7.264446795
2048;Black-legged kittiwake;Bjørnøya;2048;Aut;6.92776331
2049;Black-legged kittiwake;Bjørnøya;2049;Aut;7.877681026
2050;Black-legged kittiwake;Bjørnøya;2050;Aut;6.57551586
1980;Black-legged kittiwake;Hjelmsøya;1980;Aut;4.622464315
1981;Black-legged kittiwake;Hjelmsøya;1981;Aut;4.728388054
1982;Black-legged kittiwake;Hjelmsøya;1982;Aut;3.555393192
1983;Black-legged kittiwake;Hjelmsøya;1983;Aut;4.96199927
1984;Black-legged kittiwake;Hjelmsøya;1984;Aut;5.15023507
1985;Black-legged kittiwake;Hjelmsøya;1985;Aut;4.913879443
1986;Black-legged kittiwake;Hjelmsøya;1986;Aut;4.793084355
1987;Black-legged kittiwake;Hjelmsøya;1987;Aut;4.088274495
1988;Black-legged kittiwake;Hjelmsøya;1988;Aut;4.539092221
1989;Black-legged kittiwake;Hjelmsøya;1989;Aut;4.618240586
1990;Black-legged kittiwake;Hjelmsøya;1990;Aut;5.43859844
1991;Black-legged kittiwake;Hjelmsøya;1991;Aut;4.850942306
1992;Black-legged kittiwake;Hjelmsøya;1992;Aut;4.781889108
1993;Black-legged kittiwake;Hjelmsøya;1993;Aut;5.136551133
1994;Black-legged kittiwake;Hjelmsøya;1994;Aut;5.006804865
1995;Black-legged kittiwake;Hjelmsøya;1995;Aut;4.453449041
1996;Black-legged kittiwake;Hjelmsøya;1996;Aut;4.7227651
1997;Black-legged kittiwake;Hjelmsøya;1997;Aut;4.764339933
1998;Black-legged kittiwake;Hjelmsøya;1998;Aut;5.45168843
1999;Black-legged kittiwake;Hjelmsøya;1999;Aut;5.245029181
2000;Black-legged kittiwake;Hjelmsøya;2000;Aut;5.208793598
2001;Black-legged kittiwake;Hjelmsøya;2001;Aut;6.196227593
2002;Black-legged kittiwake;Hjelmsøya;2002;Aut;5.332577237
2003;Black-legged kittiwake;Hjelmsøya;2003;Aut;4.380481391
2004;Black-legged kittiwake;Hjelmsøya;2004;Aut;6.359854403
2005;Black-legged kittiwake;Hjelmsøya;2005;Aut;5.826930641
2006;Black-legged kittiwake;Hjelmsøya;2006;Aut;5.960151811
2007;Black-legged kittiwake;Hjelmsøya;2007;Aut;6.094649653
2008;Black-legged kittiwake;Hjelmsøya;2008;Aut;4.689567282
2009;Black-legged kittiwake;Hjelmsøya;2009;Aut;4.786700994
2010;Black-legged kittiwake;Hjelmsøya;2010;Aut;5.074272114
2011;Black-legged kittiwake;Hjelmsøya;2011;Aut;6.581936489
2012;Black-legged kittiwake;Hjelmsøya;2012;Aut;5.915906389
2013;Black-legged kittiwake;Hjelmsøya;2013;Aut;7.202480681
2014;Black-legged kittiwake;Hjelmsøya;2014;Aut;5.884101041
2015;Black-legged kittiwake;Hjelmsøya;2015;Aut;6.103484553
2016;Black-legged kittiwake;Hjelmsøya;2016;Aut;5.536709197
2017;Black-legged kittiwake;Hjelmsøya;2017;Aut;5.638851651
2018;Black-legged kittiwake;Hjelmsøya;2018;Aut;4.639730268
2019;Black-legged kittiwake;Hjelmsøya;2019;Aut;5.964541035
2020;Black-legged kittiwake;Hjelmsøya;2020;Aut;6.355840558
2021;Black-legged kittiwake;Hjelmsøya;2021;Aut;6.184966245
2022;Black-legged kittiwake;Hjelmsøya;2022;Aut;6.119964045
2023;Black-legged kittiwake;Hjelmsøya;2023;Aut;5.449878123
2024;Black-legged kittiwake;Hjelmsøya;2024;Aut;5.97483933
2025;Black-legged kittiwake;Hjelmsøya;2025;Aut;6.309824875
2026;Black-legged kittiwake;Hjelmsøya;2026;Aut;7.181702191
2027;Black-legged kittiwake;Hjelmsøya;2027;Aut;6.603554031
2028;Black-legged kittiwake;Hjelmsøya;2028;Aut;6.444938376
2029;Black-legged kittiwake;Hjelmsøya;2029;Aut;6.601761576
2030;Black-legged kittiwake;Hjelmsøya;2030;Aut;6.464342248
2031;Black-legged kittiwake;Hjelmsøya;2031;Aut;5.911667702
2032;Black-legged kittiwake;Hjelmsøya;2032;Aut;6.043680232
2033;Black-legged kittiwake;Hjelmsøya;2033;Aut;6.024202056
2034;Black-legged kittiwake;Hjelmsøya;2034;Aut;6.591383669
2035;Black-legged kittiwake;Hjelmsøya;2035;Aut;6.602872754
2036;Black-legged kittiwake;Hjelmsøya;2036;Aut;6.417606206
2037;Black-legged kittiwake;Hjelmsøya;2037;Aut;7.277453565
2038;Black-legged kittiwake;Hjelmsøya;2038;Aut;6.449137016
2039;Black-legged kittiwake;Hjelmsøya;2039;Aut;5.462422898
2040;Black-legged kittiwake;Hjelmsøya;2040;Aut;7.496643115
2041;Black-legged kittiwake;Hjelmsøya;2041;Aut;7.189494909
2042;Black-legged kittiwake;Hjelmsøya;2042;Aut;7.372985888
2043;Black-legged kittiwake;Hjelmsøya;2043;Aut;7.572344561
2044;Black-legged kittiwake;Hjelmsøya;2044;Aut;6.102878543
2045;Black-legged kittiwake;Hjelmsøya;2045;Aut;6.188100026
2046;Black-legged kittiwake;Hjelmsøya;2046;Aut;6.562381114
2047;Black-legged kittiwake;Hjelmsøya;2047;Aut;7.911413912
2048;Black-legged kittiwake;Hjelmsøya;2048;Aut;7.441214508
2049;Black-legged kittiwake;Hjelmsøya;2049;Aut;8.584710331
2050;Black-legged kittiwake;Hjelmsøya;2050;Aut;7.207707992
1980;Black-legged kittiwake;Hornøya;1980;Aut;2.040439652
1981;Black-legged kittiwake;Hornøya;1981;Aut;2.126031939
1982;Black-legged kittiwake;Hornøya;1982;Aut;0.747741379
1983;Black-legged kittiwake;Hornøya;1983;Aut;2.704281145
1984;Black-legged kittiwake;Hornøya;1984;Aut;3.169038769
1985;Black-legged kittiwake;Hornøya;1985;Aut;2.897501367
1986;Black-legged kittiwake;Hornøya;1986;Aut;2.56156529
1987;Black-legged kittiwake;Hornøya;1987;Aut;1.589724029
1988;Black-legged kittiwake;Hornøya;1988;Aut;1.656389367
1989;Black-legged kittiwake;Hornøya;1989;Aut;1.505594806
1990;Black-legged kittiwake;Hornøya;1990;Aut;2.681019454
1991;Black-legged kittiwake;Hornøya;1991;Aut;2.220675579
1992;Black-legged kittiwake;Hornøya;1992;Aut;2.234513655
1993;Black-legged kittiwake;Hornøya;1993;Aut;2.350371905
1994;Black-legged kittiwake;Hornøya;1994;Aut;2.680595589
1995;Black-legged kittiwake;Hornøya;1995;Aut;2.364389349
1996;Black-legged kittiwake;Hornøya;1996;Aut;2.513578134
1997;Black-legged kittiwake;Hornøya;1997;Aut;2.444458933
1998;Black-legged kittiwake;Hornøya;1998;Aut;2.646986394
1999;Black-legged kittiwake;Hornøya;1999;Aut;3.101143475
2000;Black-legged kittiwake;Hornøya;2000;Aut;3.028205574
2001;Black-legged kittiwake;Hornøya;2001;Aut;4.191005375
2002;Black-legged kittiwake;Hornøya;2002;Aut;2.69408596
2003;Black-legged kittiwake;Hornøya;2003;Aut;0.97192155
2004;Black-legged kittiwake;Hornøya;2004;Aut;3.920847403
2005;Black-legged kittiwake;Hornøya;2005;Aut;3.405233791
2006;Black-legged kittiwake;Hornøya;2006;Aut;3.955253436
2007;Black-legged kittiwake;Hornøya;2007;Aut;4.11969318
2008;Black-legged kittiwake;Hornøya;2008;Aut;2.055660361
2009;Black-legged kittiwake;Hornøya;2009;Aut;2.313472149
2010;Black-legged kittiwake;Hornøya;2010;Aut;2.919239847
2011;Black-legged kittiwake;Hornøya;2011;Aut;4.371479393
2012;Black-legged kittiwake;Hornøya;2012;Aut;4.060154542
2013;Black-legged kittiwake;Hornøya;2013;Aut;4.845339619
2014;Black-legged kittiwake;Hornøya;2014;Aut;2.816730679
2015;Black-legged kittiwake;Hornøya;2015;Aut;3.908971349
2016;Black-legged kittiwake;Hornøya;2016;Aut;2.960775784
2017;Black-legged kittiwake;Hornøya;2017;Aut;3.120025581
2018;Black-legged kittiwake;Hornøya;2018;Aut;2.191837802
2019;Black-legged kittiwake;Hornøya;2019;Aut;3.621191122
2020;Black-legged kittiwake;Hornøya;2020;Aut;4.358615032
2021;Black-legged kittiwake;Hornøya;2021;Aut;4.197716395
2022;Black-legged kittiwake;Hornøya;2022;Aut;4.108868426
2023;Black-legged kittiwake;Hornøya;2023;Aut;3.364894358
2024;Black-legged kittiwake;Hornøya;2024;Aut;3.667012687
2025;Black-legged kittiwake;Hornøya;2025;Aut;3.910447938
2026;Black-legged kittiwake;Hornøya;2026;Aut;4.937846851
2027;Black-legged kittiwake;Hornøya;2027;Aut;4.489192898
2028;Black-legged kittiwake;Hornøya;2028;Aut;4.360690583
2029;Black-legged kittiwake;Hornøya;2029;Aut;4.339056735
2030;Black-legged kittiwake;Hornøya;2030;Aut;4.48986731
2031;Black-legged kittiwake;Hornøya;2031;Aut;4.264007693
2032;Black-legged kittiwake;Hornøya;2032;Aut;4.090149673
2033;Black-legged kittiwake;Hornøya;2033;Aut;3.970146015
2034;Black-legged kittiwake;Hornøya;2034;Aut;4.136463434
2035;Black-legged kittiwake;Hornøya;2035;Aut;4.695706684
2036;Black-legged kittiwake;Hornøya;2036;Aut;4.68621723
2037;Black-legged kittiwake;Hornøya;2037;Aut;5.638196263
2038;Black-legged kittiwake;Hornøya;2038;Aut;4.359726833
2039;Black-legged kittiwake;Hornøya;2039;Aut;3.10338843
2040;Black-legged kittiwake;Hornøya;2040;Aut;5.413230287
2041;Black-legged kittiwake;Hornøya;2041;Aut;5.272790705
2042;Black-legged kittiwake;Hornøya;2042;Aut;5.812572815
2043;Black-legged kittiwake;Hornøya;2043;Aut;5.966114135
2044;Black-legged kittiwake;Hornøya;2044;Aut;4.202997449
2045;Black-legged kittiwake;Hornøya;2045;Aut;4.205523913
2046;Black-legged kittiwake;Hornøya;2046;Aut;4.88586803
2047;Black-legged kittiwake;Hornøya;2047;Aut;6.06036167
2048;Black-legged kittiwake;Hornøya;2048;Aut;5.988035188
2049;Black-legged kittiwake;Hornøya;2049;Aut;6.628538829
2050;Black-legged kittiwake;Hornøya;2050;Aut;4.709500985
1980;Black-legged kittiwake;Isfjorden;1980;Aut;2.596677944
1981;Black-legged kittiwake;Isfjorden;1981;Aut;2.712899139
1982;Black-legged kittiwake;Isfjorden;1982;Aut;1.456637137
1983;Black-legged kittiwake;Isfjorden;1983;Aut;2.967829651
1984;Black-legged kittiwake;Isfjorden;1984;Aut;3.471096315
1985;Black-legged kittiwake;Isfjorden;1985;Aut;3.25721015
1986;Black-legged kittiwake;Isfjorden;1986;Aut;2.937985512
1987;Black-legged kittiwake;Isfjorden;1987;Aut;2.114194521
1988;Black-legged kittiwake;Isfjorden;1988;Aut;2.225317485
1989;Black-legged kittiwake;Isfjorden;1989;Aut;2.362912782
1990;Black-legged kittiwake;Isfjorden;1990;Aut;3.31109137
1991;Black-legged kittiwake;Isfjorden;1991;Aut;2.949498076
1992;Black-legged kittiwake;Isfjorden;1992;Aut;2.972898647
1993;Black-legged kittiwake;Isfjorden;1993;Aut;2.80997735
1994;Black-legged kittiwake;Isfjorden;1994;Aut;2.73087271
1995;Black-legged kittiwake;Isfjorden;1995;Aut;2.86730321
1996;Black-legged kittiwake;Isfjorden;1996;Aut;2.918332191
1997;Black-legged kittiwake;Isfjorden;1997;Aut;2.733915749
1998;Black-legged kittiwake;Isfjorden;1998;Aut;3.364730502
1999;Black-legged kittiwake;Isfjorden;1999;Aut;3.560991355
2000;Black-legged kittiwake;Isfjorden;2000;Aut;3.369657936
2001;Black-legged kittiwake;Isfjorden;2001;Aut;4.066821494
2002;Black-legged kittiwake;Isfjorden;2002;Aut;3.736170459
2003;Black-legged kittiwake;Isfjorden;2003;Aut;2.692970391
2004;Black-legged kittiwake;Isfjorden;2004;Aut;3.885224979
2005;Black-legged kittiwake;Isfjorden;2005;Aut;3.758761161
2006;Black-legged kittiwake;Isfjorden;2006;Aut;4.413051881
2007;Black-legged kittiwake;Isfjorden;2007;Aut;4.014955973
2008;Black-legged kittiwake;Isfjorden;2008;Aut;2.877855112
2009;Black-legged kittiwake;Isfjorden;2009;Aut;3.261193848
2010;Black-legged kittiwake;Isfjorden;2010;Aut;3.416129797
2011;Black-legged kittiwake;Isfjorden;2011;Aut;4.565643875
2012;Black-legged kittiwake;Isfjorden;2012;Aut;4.26858064
2013;Black-legged kittiwake;Isfjorden;2013;Aut;5.068242229
2014;Black-legged kittiwake;Isfjorden;2014;Aut;3.512119633
2015;Black-legged kittiwake;Isfjorden;2015;Aut;4.037490768
2016;Black-legged kittiwake;Isfjorden;2016;Aut;3.454469107
2017;Black-legged kittiwake;Isfjorden;2017;Aut;3.604199629
2018;Black-legged kittiwake;Isfjorden;2018;Aut;2.681699403
2019;Black-legged kittiwake;Isfjorden;2019;Aut;3.808101673
2020;Black-legged kittiwake;Isfjorden;2020;Aut;4.542966493
2021;Black-legged kittiwake;Isfjorden;2021;Aut;4.472974043
2022;Black-legged kittiwake;Isfjorden;2022;Aut;4.357077001
2023;Black-legged kittiwake;Isfjorden;2023;Aut;3.627303744
2024;Black-legged kittiwake;Isfjorden;2024;Aut;3.874886444
2025;Black-legged kittiwake;Isfjorden;2025;Aut;4.350817563
2026;Black-legged kittiwake;Isfjorden;2026;Aut;5.265957667
2027;Black-legged kittiwake;Isfjorden;2027;Aut;4.844193454
2028;Black-legged kittiwake;Isfjorden;2028;Aut;4.747966657
2029;Black-legged kittiwake;Isfjorden;2029;Aut;4.407810551
2030;Black-legged kittiwake;Isfjorden;2030;Aut;4.300685132
2031;Black-legged kittiwake;Isfjorden;2031;Aut;4.442463646
2032;Black-legged kittiwake;Isfjorden;2032;Aut;4.330274874
2033;Black-legged kittiwake;Isfjorden;2033;Aut;4.108212049
2034;Black-legged kittiwake;Isfjorden;2034;Aut;4.553037294
2035;Black-legged kittiwake;Isfjorden;2035;Aut;4.870207766
2036;Black-legged kittiwake;Isfjorden;2036;Aut;4.703662827
2037;Black-legged kittiwake;Isfjorden;2037;Aut;5.255012371
2038;Black-legged kittiwake;Isfjorden;2038;Aut;4.860131323
2039;Black-legged kittiwake;Isfjorden;2039;Aut;4.028029293
2040;Black-legged kittiwake;Isfjorden;2040;Aut;5.108960371
2041;Black-legged kittiwake;Isfjorden;2041;Aut;5.162570267
2042;Black-legged kittiwake;Isfjorden;2042;Aut;5.793065483
2043;Black-legged kittiwake;Isfjorden;2043;Aut;5.501288714
2044;Black-legged kittiwake;Isfjorden;2044;Aut;4.507264004
2045;Black-legged kittiwake;Isfjorden;2045;Aut;4.707554203
2046;Black-legged kittiwake;Isfjorden;2046;Aut;4.939995056
2047;Black-legged kittiwake;Isfjorden;2047;Aut;5.914748043
2048;Black-legged kittiwake;Isfjorden;2048;Aut;5.817889866
2049;Black-legged kittiwake;Isfjorden;2049;Aut;6.422602601
2050;Black-legged kittiwake;Isfjorden;2050;Aut;5.022492019
1980;Black-legged kittiwake;Røst;1980;Aut;5.552449306
1981;Black-legged kittiwake;Røst;1981;Aut;4.678128992
1982;Black-legged kittiwake;Røst;1982;Aut;4.203027764
1983;Black-legged kittiwake;Røst;1983;Aut;5.012026804
1984;Black-legged kittiwake;Røst;1984;Aut;5.213243011
1985;Black-legged kittiwake;Røst;1985;Aut;5.520400281
1986;Black-legged kittiwake;Røst;1986;Aut;5.280367816
1987;Black-legged kittiwake;Røst;1987;Aut;4.798190712
1988;Black-legged kittiwake;Røst;1988;Aut;5.443559646
1989;Black-legged kittiwake;Røst;1989;Aut;4.941492435
1990;Black-legged kittiwake;Røst;1990;Aut;5.850601527
1991;Black-legged kittiwake;Røst;1991;Aut;5.542085306
1992;Black-legged kittiwake;Røst;1992;Aut;5.312013652
1993;Black-legged kittiwake;Røst;1993;Aut;5.614743194
1994;Black-legged kittiwake;Røst;1994;Aut;5.567695489
1995;Black-legged kittiwake;Røst;1995;Aut;4.63859733
1996;Black-legged kittiwake;Røst;1996;Aut;5.386988145
1997;Black-legged kittiwake;Røst;1997;Aut;5.198531963
1998;Black-legged kittiwake;Røst;1998;Aut;5.880535437
1999;Black-legged kittiwake;Røst;1999;Aut;5.865332535
2000;Black-legged kittiwake;Røst;2000;Aut;5.702895819
2001;Black-legged kittiwake;Røst;2001;Aut;6.201322561
2002;Black-legged kittiwake;Røst;2002;Aut;6.531101289
2003;Black-legged kittiwake;Røst;2003;Aut;6.599135213
2004;Black-legged kittiwake;Røst;2004;Aut;6.90142837
2005;Black-legged kittiwake;Røst;2005;Aut;5.865129575
2006;Black-legged kittiwake;Røst;2006;Aut;6.506086749
2007;Black-legged kittiwake;Røst;2007;Aut;6.037113199
2008;Black-legged kittiwake;Røst;2008;Aut;6.259855381
2009;Black-legged kittiwake;Røst;2009;Aut;6.066487602
2010;Black-legged kittiwake;Røst;2010;Aut;6.163931017
2011;Black-legged kittiwake;Røst;2011;Aut;6.610822657
2012;Black-legged kittiwake;Røst;2012;Aut;6.141455582
2013;Black-legged kittiwake;Røst;2013;Aut;7.033713929
2014;Black-legged kittiwake;Røst;2014;Aut;7.071683259
2015;Black-legged kittiwake;Røst;2015;Aut;6.586031669
2016;Black-legged kittiwake;Røst;2016;Aut;6.666590721
2017;Black-legged kittiwake;Røst;2017;Aut;5.91478614
2018;Black-legged kittiwake;Røst;2018;Aut;5.545833978
2019;Black-legged kittiwake;Røst;2019;Aut;6.197945143
2020;Black-legged kittiwake;Røst;2020;Aut;6.498911914
2021;Black-legged kittiwake;Røst;2021;Aut;6.902304503
2022;Black-legged kittiwake;Røst;2022;Aut;6.674486212
2023;Black-legged kittiwake;Røst;2023;Aut;6.273770557
2024;Black-legged kittiwake;Røst;2024;Aut;6.845530882
2025;Black-legged kittiwake;Røst;2025;Aut;6.56919626
2026;Black-legged kittiwake;Røst;2026;Aut;7.363275829
2027;Black-legged kittiwake;Røst;2027;Aut;7.040509947
2028;Black-legged kittiwake;Røst;2028;Aut;6.902795725
2029;Black-legged kittiwake;Røst;2029;Aut;7.132068985
2030;Black-legged kittiwake;Røst;2030;Aut;6.985520318
2031;Black-legged kittiwake;Røst;2031;Aut;6.133635519
2032;Black-legged kittiwake;Røst;2032;Aut;6.637230605
2033;Black-legged kittiwake;Røst;2033;Aut;6.562512228
2034;Black-legged kittiwake;Røst;2034;Aut;7.073120369
2035;Black-legged kittiwake;Røst;2035;Aut;7.015190968
2036;Black-legged kittiwake;Røst;2036;Aut;6.587324227
2037;Black-legged kittiwake;Røst;2037;Aut;6.98135522
2038;Black-legged kittiwake;Røst;2038;Aut;7.284427652
2039;Black-legged kittiwake;Røst;2039;Aut;7.324739009
2040;Black-legged kittiwake;Røst;2040;Aut;7.645906632
2041;Black-legged kittiwake;Røst;2041;Aut;6.668052203
2042;Black-legged kittiwake;Røst;2042;Aut;7.326214778
2043;Black-legged kittiwake;Røst;2043;Aut;7.074904781
2044;Black-legged kittiwake;Røst;2044;Aut;7.2878036
2045;Black-legged kittiwake;Røst;2045;Aut;7.16954331
2046;Black-legged kittiwake;Røst;2046;Aut;7.200438655
2047;Black-legged kittiwake;Røst;2047;Aut;7.655204776
2048;Black-legged kittiwake;Røst;2048;Aut;7.169061332
2049;Black-legged kittiwake;Røst;2049;Aut;8.087864404
2050;Black-legged kittiwake;Røst;2050;Aut;8.163313942
1980;Black-legged kittiwake;Runde;1980;Aut;6.910346561
1981;Black-legged kittiwake;Runde;1981;Aut;5.536061237
1982;Black-legged kittiwake;Runde;1982;Aut;5.681690582
1983;Black-legged kittiwake;Runde;1983;Aut;5.910799889
1984;Black-legged kittiwake;Runde;1984;Aut;6.030140558
1985;Black-legged kittiwake;Runde;1985;Aut;6.73558113
1986;Black-legged kittiwake;Runde;1986;Aut;6.443431918
1987;Black-legged kittiwake;Runde;1987;Aut;6.11772305
1988;Black-legged kittiwake;Runde;1988;Aut;6.845019047
1989;Black-legged kittiwake;Runde;1989;Aut;5.917694979
1990;Black-legged kittiwake;Runde;1990;Aut;6.809650115
1991;Black-legged kittiwake;Runde;1991;Aut;6.711984992
1992;Black-legged kittiwake;Runde;1992;Aut;6.256722149
1993;Black-legged kittiwake;Runde;1993;Aut;6.228856777
1994;Black-legged kittiwake;Runde;1994;Aut;6.996884733
1995;Black-legged kittiwake;Runde;1995;Aut;5.730750211
1996;Black-legged kittiwake;Runde;1996;Aut;6.683826275
1997;Black-legged kittiwake;Runde;1997;Aut;6.435635013
1998;Black-legged kittiwake;Runde;1998;Aut;6.551741626
1999;Black-legged kittiwake;Runde;1999;Aut;7.005051076
2000;Black-legged kittiwake;Runde;2000;Aut;6.718150888
2001;Black-legged kittiwake;Runde;2001;Aut;7.180145344
2002;Black-legged kittiwake;Runde;2002;Aut;7.942700034
2003;Black-legged kittiwake;Runde;2003;Aut;8.751054483
2004;Black-legged kittiwake;Runde;2004;Aut;8.311770751
2005;Black-legged kittiwake;Runde;2005;Aut;6.553283638
2006;Black-legged kittiwake;Runde;2006;Aut;7.765043096
2007;Black-legged kittiwake;Runde;2007;Aut;6.656444882
2008;Black-legged kittiwake;Runde;2008;Aut;8.242165936
2009;Black-legged kittiwake;Runde;2009;Aut;7.577375585
2010;Black-legged kittiwake;Runde;2010;Aut;7.954441639
2011;Black-legged kittiwake;Runde;2011;Aut;7.298267193
2012;Black-legged kittiwake;Runde;2012;Aut;7.006095664
